LT031-0202|Tuoj įjungsiu šviesas, - pažadėjo Vinstonas. - Ženkite vidun, užverkite duris.
LT004-0042|„Pats tikriausias būdas sužadinti ir išlaikyti skaitytojo dėmesį – būti specifiškam, tiksliam ir konkrečiam“
LT034-0299|Mano draugai, per savo gyvenimą esu skelbęs daug prognozių. Šiandieną žadu paviešinti dar vieną.
LT003-0169|Trumpa istorija - sporto klubų tinklas, naujo klubo atidarymo proga, nusprendė padaryti tikrai unikalią kampaniją -
LT021-0020|Mano darbas. Sukūręs tą reklamą pats nežinojau, ar man didžiuotis, ar, atvirkščiai, gėdintis, tačiau paskui pasipylė užsakymai, ir jau neabejojau.
LT038-0132|paprotys simbolizavo amžiną sąjungą.
LT034-0271|Iš kur mes atėjome? Kur link judame? Esminiai žmonijos egzistencijos klausimai, neduodantys man ramybės nuo senų laikų.
LT023-0046|Jos visos yra tokios pačios tragiškos kaip ir vadybininkė Danutė,
LT016-0144|Tai bet o paskui supratau, kad jūs. O ar jums patinka čia picos?
LT013-0012|nuo keisto lietuvių įpročio karpytis nagus sporto klube iki dar keistesnio – pardavinėti gauruotus šepečius vamzdžiams valyti, kuriuos vadina verbomis.
LT003-0058|Norite sužinoti kaip sužinoti ar jūsų pasiūlymas tiks godiems žmonėms?
LT002-0069|bet tokiam produktui, kaip juvelyrinių dirbinių valymo komplektas, be kurio, švelniai tariant, galėtume išgyventi, reikėtų būtent panašaus tipo pristatymo.
LT036-0079|Kai nuskambėjo žodžiai „balta karinė uniforma“, agentas mažumėlę atšlijo nuo Lengdono.
LT012-0022|Kadangi tikrai žinojau, kad tikrą patirtį jis tikrai turi
LT032-0038|Tatai grynas absurdas. Edmondas Kiršas, priešingai, išleido ribotą kiekį itin konkrečių prognozių, kurios išsipildė per labai trumpą laikotarpį
LT035-0095|Beje, jeigu norėtume suskaičiuoti žvaigždes...
LT021-0141|toks kaip cepelinai ir šildytas kugelis, kurio net kugeliu negalima vadinti, o reikia vadinti bulvių tarkių plokštainiu ar dar kažkaip kitaip.
LT028-0161|- Ar aš tau nesakiau, kad čia tavo loterijos bilietas? Aš atvažiavau, nes galvojau, kad tu dar gali padaryti kokią nors kvailystę, nepaisant visko, ką tau parodė gyvenimas čia.
LT012-0043|Jeigu jums tai atrodo įdomu ir aktualu, kviečiu skaityti toliau.
LT037-0087|Edmondai, kas jau kas, bet tu tikrai nenorėtum, kad kiti už tave melstųsi.
LT022-0114|Prie durų sėdinčių budėtojų pasakiškas įžūlumas bendraujant su lankytojais buvo palyginamas tik su jų isteriška bet kurių viršininkų baime:
LT025-0034|Pavyzdžiui, aš žinau, kad jūs dabar su vienais viešųjų ryšių specialistais ruošiate į rinką paleisti naujus vitaminus, kurie turės ją užkariauti. Tai bus didžiulis dalykas.
LT011-0090|(primename, kad dalyvavimas šiame seminare kainavo net devynis šimtus devyniasdešimt septynis Eurus).
LT033-0046|Pasiekus pirmąją laiptų aikštelę, jo žvilgsnį patraukė moteris ant gretimo tiltuko.
LT018-0155|Grįžk į Lietuvą ir imk savo naują gyvenimą, kurį tau padovanojo.
LT008-0069|o amerikiečiai (nepaisant to, ką mano britai) kalba angliškai, tai yra amerikiečių anglų kalba.
LT020-0032|- Gerai, bet tu man turi pasakyti, kur gyveni.
LT034-0012|Lengdonas atsidūrė plačios laukymės perimetre. Aukštai viršuje plytėjo stulbinantis žvaigždėtas dangus,
LT033-0146|Nuostabu. Paskutinė smulkmena. Tenai įžengęs rasite talpyklas, į kurias reikia padėti ausines.
LT037-0007|kurie norėdami papildomai užsidirbti išnuomodavo savo automobilius kaip improvizuotus taksi.
LT013-0090|galvoji, kaip jiems sekasi, ką jie jaučia, ir turbūt manai, kad jei man taip būtų, prišikčiau kelnes ir nieko negalėčiau padaryti.
LT037-0052|Mano sužadėtinis... Ispanijos sosto įpėdinis. Donas Chulijanas.
LT035-0086|į savo universitetus ir bibliotekas mielai įsileidžiantis įvairias religijas, filosofijas, mokslus.
LT030-0026|dėkingumas. Visą gyvenimą tarnavo jūroje, ir pagaliau Viešpats jam įteikė nuostabiausią dovaną - šeimą.
LT024-0085|- Taigi. Kvepalų kūrėjas.
LT036-0197|Puikiai suprantu, apie ką jūs šnekate, mano drauge, - kaip įmanoma ramiau tarė vyskupas. - Girdžiu ryžtą jūsų balse ir jaučiu pagarbą išsakytoms mintims.
LT033-0013|Ilgalaikis karaliaus draugas ir patarėjas dvasiniais reikalais buvo nuoširdus tradicijų šalininkas ir veik netoleravo modernizacijos.
LT029-0180|Aš pats sunkiai save atpažįstu.
LT017-0139|Dvi valandas praleidau vairuodamas šimtą trisdešimt mylių - ir savo mieste neradau absoliučiai nieko, kas man paaiškintų ką nors apie mano senąjį gyvenimą.
LT034-0292|Lubose matomi vaizdai išnyko ir vietoj jų atsirado susikaupusios, išplėstomis akimis į mikroskopą žiūrinčios studentės nuotrauka.
LT034-0026|Jam teko skaityti apie naujoviškas sintetines velėnas, apgaunančias netgi profesionalius atletus,
LT037-0240|Nepakartojama, pamanė Lengdonas ir atsigręžęs į Ambrą raminamai linktelėjęs.
LT013-0118|Tačiau tuo momentu aš mažai ką atsiminiau iš savo gyvenimo. Šią frazę jūs girdėsite dar daug kartų.
LT002-0133|Antrasis pranešimas yra puikus atsakymas į kiekvienam vartotojui kylantį klausimą: „Kas man iš to?“
LT020-0016|balse skambėjo nerimas, ir aš supratau, kodėl. Ji nežinojo, ką aš galvoju.
LT015-0030|Gal aš irgi niekada nepamatysiu savo mokyklos, savo namų, savo artimiausios parduotuvės, savo alaus baro, savo mėgstamiausio indiško restorano
LT027-0093|Tokių dalykų nebūna Anglijoje, kartojau pats sau, ir tvirtinau, kad jei ne Lietuva, jei ne tas keistas atsiradimas namo rūsyje nepažįstamoje šalyje,
LT018-0158|Pasinerdavo iki naujo netikėtumo. O aš taip nemoku.
LT026-0007|„Šiaurės jūra“ Ogmios mieste, o žmonės Vilniuje jau tvarkė svečių sąrašus ir formavo patrauklių aktorių korpusą palaikomosios demonstracijos imitacijai.
LT028-0020|prifilmavus tris valandas medžiagos, ji buvo sukarpoma pagal poreikius ir sulipdoma į dvidešimt dvi minutes eterio taip,
LT024-0094|kuriuose dera šaltas kartumas, primenantis pilkus Čikagos dangoraižius ir šaltą vėją nuo Mičigano ežero,
LT031-0174|Pirma, - prabilo, - ženklindamas luistą Edmondas atidavė duoklę seniausiai rašytinei kalbai, dantiraščiui.
LT017-0102|Yra geriau, negu galvoji, ir daug labiau fucked up
LT031-0085|Gerai, - tarė vyskupas. - Tada ir priimsime galutinį sprendimą.
LT036-0195|tikėjimas neišblėsta netgi per didžiausias negandas.
LT016-0061|Aš žinau: Anglijoje, pavyzdžiui, didžioji dalis moterų turi neproporcingai didelę krūtinę ir vaikšto ant plonų kojyčių kaip strateginiai bombonešiai,
LT007-0032|Taip kompanija gauna nežmonišką kiekį reklamos.
LT003-0040|Kaip žinoti, kada baimės lygis tinkamiausias?
LT034-0305|ConspiracyNet taškas com ATNAUJINTOS ŽINIOS APIE EDMONDO KIRŠO PRANEŠIMĄ ATEITIS BE RELIGIJOS?
LT035-0097|Staiga jie visi pranyko.
LT031-0023|sėdęs skaityti, jis veikiau gilintųsi į akademikų komentarus apie „Zohar, arba pažangią kabalistinę kosmologijos teoriją.
LT035-0163|Upė netikėtai nustojo šniokšti. Danguje vėl įsiplieskė žvaigždės. Padvelkė šiltas vėjelis, ėmė čirkšti svirpliai.
LT037-0014|Dabar Vinstonas renka „Uber“ pagalbos telefono numerį.
LT002-0114|Būtent taip reikia atsakyti į šį klausimą: „Kokia man iš to nauda?“
LT024-0115|Kai ėjai penktadienį į alubarį, ką ten matei ir girdėjai?
LT014-0019|asta advokatė (darbinis),
LT013-0120|kad jau nuo jos pačios darėsi ne visai jauku. Prisiminiau skaitęs apie žmones, kuriems prasideda kraupi, mirtina panika, panardinus juos,
LT035-0078|Futuristo sprendimas susitikti su religiniais lyderiais bylojo apie plačias pažiūras, pasitikėjimą ir nešališkumą, kuriuo jis, tiesą sakant, negarsėjo.
LT014-0065|Turiu. Žinoma, turiu. Padaviau jai du eurus, gavau grąžą, sumečiau ją į mažytę kiaulę-taupyklę ant prekystalio
LT038-0091|Garsa kietai sukando dantis, užgniauždamas savo protestą.
LT014-0113|pamačiau, kad Merkys Kazlauskas laiko automobilį gana švariai, nešiukšlina, ir nusprendžiau eiti į namus.
LT002-0185|LOGIKA PATEISINA EMOCIJAS, o būtent EMOCIJOS SKATINA PARDAVIMĄ.
LT016-0196|kad ant sienos mačiau namo numerį šešiolika, ir apsimečiau išsiblaškęs.
LT023-0181|Kas buvo pirmas lietuvis, kuris sugalvojo šį idiotizmą? Kas buvo jo galvoje?
LT021-0204|Pensininkai prapliupo audringais plojimais, prabudo net vienas senolis, kuris miegojo nuo filmavimo pradžios, o ta močiutė, kuriai iškrito žandikaulis,
LT007-0035|Anot Merginų skaučių klubo vadovės, „Nabisko“ yra tikras išsigelbėjimas“.
LT033-0001|Madride pagrindinė Romos katalikų arkivyskupijos šventovė buvo Catedral de la Almudena, galia trykštantis neoklasikinis statinys šalia Karališkųjų rūmų.
LT014-0024|Palauk, pažiūrėsiu telefonų knygą. Nuo viršaus. Gal?
LT006-0097|Sukurkite bendravimo vadovą, kuriame bus išdėstyta, kaip visuose skyriuose reikia interpretuoti ir įgyvendinti pranešimus ir kas juos pranešinės.
LT032-0262|Kas bus, kai jie išgirs apie šio vakaro renginį? - Neapsidžiaugs. Ir ypač vienas iš jų. - Kiršas pažvelgė Lengdonui tiesiai į akis.
LT013-0146|Kaip koks superprabangus antkapio paminklas. Gal tai vis dar sapnas?
LT032-0265|Kiršas sulinkčiojo galva. - Tas pats.
LT038-0084|Jis akimirką pritilo. - Judu
LT013-0059|kai kam gali pasirodyti, kad tai yra kaip nors susiję su Algiu Ramanausku, gimusiu tūkstantis devyni šimtai septyniasdešimtaisiais metais lapkričio 27 dieną Vilniuje.
LT008-0007|Labai nesunku suprasti, kad šie veiksniai yra tokie pat svarbūs reklamuojant produktus ar paslaugas ne tik interneto erdvėje.
LT012-0045|jeigu dirbsime kartu ir jūs įgyvendinsite strategijas, kurias jums paruošiau,
LT011-0010|Du tūkstančiai vienuolikti metai. Buvo niūrus rudens rytas, kai lietus barbeno į palangę, o aš vėl “hustlinau” ir galvojau ką padaryti šiandien, kad prasimanyčiau pinigų.
LT021-0160|Netruko pasirodyti vedėja, įsijungė kameros, visi paplojo, ir prasidėjo filmavimas.
LT021-0058|tai tas kultūros darbuotojas maždaug per dvylika valandų pradeda matyti teigiamą didžiosios komercijos pusę.
LT018-0021|tapo lyg ir hobiu, ir įdomiausiu laiko leidimu.
LT019-0110|Tada dar nežinojau, kad į šiuos renginius vieni ateina nusifotografuoti, kiti - pakalbėti su pažįstamais iš tos pačios industrijos, kurių nematė jau dvi savaites nuo praėjusio renginio,
LT003-0078|Tuomet sugalvojau kainą, kuri tapo tikru virusu Lietuvoje ir padėjo parduoti per šį laikotarpį daugybę tūkstančių bilietų:
LT034-0085|kuris galbūt pritaria mano nuomonei, jog Kiršo atradimas sukels pavojingus atgarsius.
LT021-0008|Man, žinoma, nebuvo paskirta jokia tarnavimo misija. Man patiko skaityti apie šnipus ir kitokius žvalgybininkus,
LT009-0030|Jūsų sprendimai:
LT035-0231|Už dvidešimties jardų Guardia Real agentas Rafa Diasas brovėsi pro svečių spūstį ir bandė nusigauti prie šoninės sienos, ties kuria pastebėjo šūvio žybsnį.
LT013-0098|Nepastebėjau nieko pavojingo. Tik girkštelėjo balkono durys, pro jas išėjo moteriškė su chalatu
LT020-0047|Aš paskui išsiaiškinau, koks čia dalykas yra su lyginiais ir nelyginiais žiedų skaičiais.
LT016-0070|Ji pavydėjo visoms savo draugėms jų namų, automobilių, baldų, drabužių, virtuvės įrangos, atostogų,
LT021-0054|Vainikiui tai buvo asmeninė nuoskauda, nes kadaise MAXIMA rėmė jo sporto klubą ir mokėjo jam stipendiją, bet paskui nusprendė jo neberemti, kai jis pradėjo gerti ir muštis.
LT021-0081|Todėl kad tie gnomai žilais plaukais ir sulamdytais veidais atleidžia bet ką, tik ne tai, kai iš jų šaiposi.
LT037-0035|Profesorius apsisuko ir moters veide pamatė stingdančios baimės miną. Žadą atėmęs sukrėtimas, regis, jau atslūgo, ir dabar ji prabilo aiškiu, desperatiškai primygtiniu tonu.
LT013-0091|Tačiau kai pats atsiduri tokioje padėtyje, visai nesijauti kaip kine -
LT036-0014|Princo tėvas, dabartinis karalius, sirgo nepagydoma liga ir ištisus mėnesius gulėjo prirakintas prie lovos.
LT037-0152|Ambra atmetė rankas aukštyn ir linksmai nusišypsojo.
LT002-0007|asmeninių susitikimų metu, interneto svetainėje ir “Facebook” puslapyje, net TV ar radijo reklamose.
LT024-0074|iš tokios lygos, kuri yra trimis lygomis aukščiau negu viskas, su kuo tu buvai gyvenime susidūręs. Ir man sakai, kad, tau atrodo, čia gerai?
LT038-0160|Rabine Kiovešai, žinau, kad prieš tris dienas Montserato vienuolyne jūs, vyskupas Valdespinas ir alama Saidas al Fadlas matėtės su Edmondu Kiršu.
LT037-0211|Likę gvardiečiams už nugaros,
LT029-0137|Tylos pauze reikšdamas savo stiprybę, Kiršas prisigretino prie lango ir įsmeigė akis į žadą atimančią panoramą.
LT033-0098|Vinstonai?.. Ei?
LT028-0136|Savaime suprantama, iš didelio užsakymo poniai Vainikienei neblogai nubyrėjo, ir ji davė pinigų sūnui smulkioms išlaidoms.
LT039-0096|Miglotame kadre buvo matyti grėsmingos uolos fonas ir stovintis prie skardžio Kiršas tamsia eilute.
LT024-0078|kokį darbą tu dirbi čia - šalia tavęs yra tokie žmonės, kuriuos net aš, būdamas už kelių tūkstančių mylių, žinau.
LT026-0052|į kitų debilų apdaužytą sviedinį ant strypo, ir tada ekranėlyje kažką parodydavo šviečiantys skaičiai (jie galvoja, kad parodo smūgio jėgą, nors iš tikrųjų skaičius
LT036-0316|Viršutinė U raidė yra atskiras lipdukas, - pridūrė Lengdonas.
LT029-0190|Jūs nesat moderniojo meno gerbėjas?
LT004-0079|kurio vertė šimtas devyniasdešimt septyni eurai“ galioja iki gegužės pirmos dienos.
LT020-0043|Pagalvojau, kad gal tam tikra prasme tai galima vadinti gėlėmis ant senojo Timo Nigelio Browno gyvenimo antkapio, tačiau gal ir ne.
LT037-0151|Taip, telefone, kaskart reikalaujančiame vartotojo identifikavimo kodo ir visada paslėptame mano vidinėje švarko kišenėje.
LT034-0102|Kas yra? - mygo Kiovešas.
LT035-0156|teprimins medinius skaičiuotuvus, pažangiausias chirurginis gydymas atrodys barbariškas,
LT003-0141|„Jei planuojate įsigyti baseiną, galiu atsiųsti Jums nemokamą brošiūrą „Nesudėtingas baseino diegimas“.
LT018-0139|Sako, tai netolimo ir kuklaus intelekto požymis, kai žmogus daugiau kalba nei klauso. Ką aš žinau, gal ir taip.
LT021-0016|Todėl, vaizduodamas žvalgybininką, tiesiog dalinau laiką perpus: šiek tiek valandų praleisdavau, dirbdamas savo darbą (savo didžiausiai nuostabai, atradau turintis gana didelius vizualinius talentus
LT001-0043|(per keturi tūkstančiai penki šimtai dalyvių).
LT001-0017|Du tūkstančiai vienuoliktieji - du tūkstančiai penkioliktieji, Martynas Šaikus.
LT033-0023|Vaikinukas tyliai pastukseno.
LT014-0155|Bet Kalėdos bus tą pačią dieną, kaip ir Anglijoje. Ir Kūčios, pagalvojau.
LT029-0154|įvesti keturiasdešimt penkių ženklų slaptažodį ir jiems parodyti tiesioginę savo prezentacijos transliaciją.
LT013-0104|Tačiau ilgiau likti kieme nereikėjo, nes pradės kilti klausimų - ką gali žinoti, ką čia veikia nepažįstamasis. Juo labiau kad ir pats nežinojau.
LT013-0181|Iš kur žinojau? Ką aš jums galiu atsakyti. Aš tą kalbą mokėjau taip, kad galėjau net taisyklingą kirčiavimą nuo netaisyklingo atskirti.
LT008-0009|Ar interneto puslapio turinys profesionalus?
LT037-0058|Ne, - sušnypštė moteris. - Čia vyksta tam tikri dalykai, kurių nesuvokiat. Mums reikia sprukti. Nedelsiant!
LT034-0233|astrologinės diagramos, per vandenį einantis Jėzus, scientologijos įkūrėjas Ronas Habardas,
LT003-0109|Ir dabar galite iš jo klaidos pasipelnyti!
LT023-0025|ne kokios plokščios pliauskos arba lesbietiškos išvaizdos ežiukai baisuokliukai.
LT017-0057|Ne dėl paties filmo svaigo galva, suprantate.
LT017-0085|Čia ne todėl, kad aš jos dar nepažįstu - Dievas mato, esu buvęs su moterimis, kurias pažinojau mažiau, nei reikia, bet aš apsimetinėju kažkuo kitu, net ir neapsimesdamas.
LT023-0105|Jei kas nors nori rinktis mechaninę, tai pasakyk, kad nesąmonė, ir tegu renkasi automatinę. Jei kas nors nori pirkti vokišką automobilį, sakyk, kad durnas,
LT034-0155|Ir kuo geriau mes pažinome gamtą, tuo labiau traukėsi dievybių panteonas.
LT014-0201|ir atspėkite, kas buvo toliau.
LT021-0121|Lietuviams labai patinka būti kartu su panašiais į save (būtent todėl, išsikrapštę kur nors į Angliją, jie visada būna kuo arčiau tų,
LT033-0200|Į savo vietą stojo operatorius su gremėzdiška vaizdo kamera ant peties ir nukreipė ją į pakylą. Apšvietimas prigeso. Ekranas pranešė:
LT002-0040|Mums būtina atkreipti į save maksimalų dėmesį, kad pajaustume ryškesnį pardavimų padidėjimą.
LT036-0018|Princas, kurį nuo mažų dienų slėgė ateities karaliaus statusas, visada buvo diskretiškas ir apdairus vaikas.
LT014-0062|(kažin, ko dar turiu kišenėse?),
LT008-0044|Išpardavimas – „Aplink pasaulį per aštuoniasdešimt dienų“ –
LT036-0128|Paaiškėjo, - tęsė Vinstonas, - kad minėto karininko ir pono Kiršo nesieja jokie ryšiai, todėl kreipiausi į muziejaus apsauginius ir paprašiau skelbti pavojų,
LT001-0047|Paprastas, bet efektyvus marketingo eksperimentas internete ir štai - patenkintų klientų būrys,
LT018-0003|Įtampa atslūgo, užsisakiau dar vieną dvigubą ir išsitraukiau telefoną.
LT034-0222|kurios nutįso tarp žvaigždžių, suraizgė jas į beribį tarpusavyje susipynusių mazgelių voratinklį.
LT002-0106|Visa šio pardavėjo prezentacija potencialiam klientui atrodys atstumianti:
LT011-0022|Trečias žingsnis: Štai ką dabar reikia padaryti, kad tai gautumėte
LT023-0019|Lietuvės moterys labai mėgsta kalbėti, bet labai nemėgsta prisiminti, ką pasakiusios, jos nekenčia, kai joms primena, ką jos yra sakiusios
LT016-0031|Palauk, aš nieko nebuvau valgęs nuo tada, kai atsiradau Lietuvoje. Jeigu aš kažkaip atsiradau Lietuvoje, nes kas žino, kodėl ir kaip aš esu čia?
LT039-0019|Vadui Garsai iš delno vos neišslydo telefonas.
LT022-0107|Jos yra šlykščios ir įžūlios, nes jų visi bijo ir niekas nesustabdo jų šlykštumo ir įžūlumo, nes nenori veltis į konfliktus,
LT028-0077|Lyg pagal užsakymą, virš miesto praskrido penki NATO naikintuvai, drebindami orą.
LT004-0046|”X Prekės ženklo” vazonėliai pomidorų auginimui. Padės Jums užauginti daug skanių pomidorų namuose.
LT017-0005|Kaip aš žinojau, kad čia ji? Paskambino į duris, tai taip ir pagalvojau.
LT034-0142|Romėnų įsitikinimu, - pasakojo profesorius, - ugnikalniuose gyveno Vulkanas, dievų kalvis,
LT032-0137|Edmondo pakviestas į renginį, sukorėte didelį kelią, tad vargu ar jis labai daug iš jūsų prašo, ragindamas įveikti trumpą atstumą iki eksponato centro.
LT031-0092|Nežinau. Visą dieną bandžiau su juo susisiekti, bet alama tarsi... išnyko. Kur al Fadlas prapuolė, nenumano nė vienas iš jo kolegų.
LT027-0011|Jo, ten pas ją teatras, kažkaip vadinasi tūkstantis devyni šimtai trisdešimtseptintūjų metų klojimo jomarkas ar panašiai. Vaidina
LT004-0030|Pateikiamas kompanijos pavadinimas, kontaktinė informacija ir paaiškinama kompanijos veikla.
LT013-0081|Ir jei tas naujasis gyvenimas būtų Lietuvoje? Ir jei galėtum rinktis tarp seno, pažįstamo, bet neįdomaus, ir nesuprantamo, keisto bei naujo?
LT013-0088|Aš nesupratau nieko, kas su manim darėsi.
LT036-0218|Pasikliauju jūsų žodžiu, todėl į Madridą atvyksiu.
LT020-0034|- Nors netikiu, kad tu nežinai. Aš nemanau, kad tu meluoji.
LT008-0039|Štai keletas idėjų:
LT033-0005|kol tvirtovės sienos dalis išsprogo, skeveldros nusirito šalin ir angoje pasirodė paveikslas, vis dar apšviestas degančių žvakių, su kuriomis ji buvo užmūryta
LT024-0153|Nepyk, aš nenorėjau taip stipriai tavęs spausti. Taip išėjo. Netyčia. Bet tu pats viską nuspręsi, aš tik tau pateikiau informaciją.
LT003-0136|Potencialiam klientui skirdamas nemokamą dovaną, nesitikėk dovanos atgal, tikėkis verslo santykių.
LT008-0036|Pateikite ypatingą pasiūlymą ribotam laikui.
LT025-0072|Kad jie prilygtų moterims.“
LT004-0170|Visiems mums patinka girdėti apie save ir įsivaizduoti save laimingesnius, sveikesnius ir turtingesnius.
LT037-0017|Profesoriui teko pripažinti, kad jis teisus. Ir, žinoma, verčiau gvardiečiai padeda gaudyti nusikaltėlį, o ne švaisto savo gebėjimus veždami Ambrą į Madridą.
LT035-0247|Jis atsimušė nuo plieno sienos ir susmego jausdamas, kaip petį nudiegia skausmas.
LT036-0233|Esu begalo daugjam skolingas.
LT037-0030|Keista. Maniau, kad esate Harvardo profesorius? Lengdonas įsispigino į jį nieko nesuprasdamas.
LT031-0107|ir pakraščiuose stovintys muziejaus svečiai spiginosi į jį kaip į tvenkinėlį.
LT036-0048|ji per interviu nusišaipė, kad gavo papeikimą iš Guardarropia Real - „Karališkosios drabužinės“.
LT034-0281|ir mus visus tevienija didis taikos troškimas.
LT036-0163|Jo didenybė donas Chulijanas, princas, paklausė... - Man nerūpi, kad jis - princas, - atkirto Ambra.
LT002-0005|baneriuose, Google AdWords ir kitose PPC (pay per click) reklamose,
LT028-0159|taip pat Aerosmith ir DepecheMode grojo kartu, o dangų ir pastatus raižė akinamos lazerių šviesos.
LT019-0080|Pasirodo, nerimavau be reikalo, nes apsaugininkai pradėjo jau iš tolo man šypsotis ir tik pasakė „labas vakaras“.
LT020-0087|- Einam, dabar pažiūrėsiu, ar tu visas toks pat, kaip buvai. Nors jei ir ne toks, kaip buvai, man tiksi ir toks.
LT032-0095|Eidetinė atmintis pasižymėjo dar ir tuo, kad datos į galvą įstrigdavo amžiams. Minėtą šeštadienį jis dalyvavo geriausio draugo gimtadienyje
LT020-0101|Vainikio niekas negalėjo įtikinti. Vainikis save įsivaizdavo kaip šiokį tokį istoriką ir dažnai pasakojo, kad jo protėviai buvo aristokratai iš Kernavės,
LT021-0050|Juos sunkiau nuvyti nuo pinigų, negu nuvyti žiurkę nuo sąvartyno, pilno maisto atliekų.
LT017-0012|- Ta prasme, ką reiškia, ar galima? Tai aš tavęs laukiu, žinai. Mes tarėmės, kad ateisi.
LT017-0009|arba gal turi tiesius ir juos susigarbanoja.
LT011-0083|Laba diena, Vardeni
LT034-0113|Šį vakarą pabūkime tyrinėtojais iš ankstyvųjų epochų, - paskelbė Kiršas.
LT033-0126|Ne, jūs matote originalą, - atsakė Vinstonas. Lengdonas jį nužvelgė iš arčiau. Darbas aiškiai buvo atspausdintas didelio formato spausdintuvu.
LT016-0043|ten manęs paklausė, ar aš „būčiau vienas“, ir prie lauko staliuko pasodino padavėja, kuri nekentė savęs, savo gyvenimo, savo darbo ir, turbūt, nekentė klientų.
LT004-0012|Malonumo principas
LT038-0107|Nejaugi? - iš prietemos už nugaros atsklido vyro balsas.
LT018-0118|Jis nedaro nieko, ko negalėtų daryti kiti žmonės, tačiau kažkodėl kiti to nedaro.
LT023-0118|Tai pats bobiškiausias ir labiausiai erzinantis dalykas pasaulyje
LT032-0149|Žmogus į galeriją įėjo pro Lengdono kiek anksčiau pastebėtas gretimas duris.
LT004-0020|Jei pasiūlysite trokštamą pasitenkinimą, tikėtina, kad žmonės pirks DABAR.
LT035-0111|taip pat ir skelbė, kad matematika yra „šėtono filosofija“.
LT029-0181|Balta peteliške, juodu fraku ir balta liemene pasipuošęs Lengdonas nerangiai žengė pirmyn.
LT013-0197|Ėjau, lyg žiūrėdamas į save filme, kažkokia lenkta gatve, paskui buvo medžiai, ir už jų erdvioje aikštėje matėsi didelė bažnyčia, gal katedra, ir dar varpinė.
LT037-0093|įkišo ranką į Edmondo odinio švarko užantį ir vidinėje kišenėje sugraibė didžiulį išmanųjį žalsvai melsvame dėkle.
LT032-0158|Tu numetei svorio, - tarė. - Tapau veganu, -atsakė Kiršas. -Taip gyventi lengviau nei tuomet, kai esi elipsės formos.
LT023-0043|Kristina Sabaliauskaitė jas suveda su jų svajonėmis apie gyvenimą aristokratų dvaruose, apie kuriuos sukurti filmai joms taip patinka,
LT028-0051|- Daryk mane! Stipriau! Už Lietuvą visiems! Padaryk mano šiknoje paradą! Daryk mane, violetinės žurnalistikos prostitute!
LT031-0058|ir, jei atsižvelgtume į tai, kad tikėjimus vienija fundamentalios tiesos,
LT017-0178|„It is not over till it’s over“, - pagalvojau pats sau. Puikus angliškas motyvacinis posakis, raginantis nepasiduoti.
LT002-0142|Kaskart pasirodžius Jūsų pasiūlymui, žmonės į Jus turėtų reaguoti kaip į Kalėdų Senelį.
LT037-0229|nelygu, kaip skaidysime posmus. Be to, vartotojui kelis sykius įvedus neteisingą slaptažodį, Edmondo sietuvai paprastai užsiblokuoja, todėl į juos veržtis jėga nepavyks.
LT038-0217|Danguje link muziejaus nuskrido televizijos naujienų kanalo sraigtasparnis. Pirmasis iš daugelio, nujautė Robertas.
LT017-0036|Net profesionalios Tailando prostitutės mažiau panašios į prostitutes negu anglų moterys, kurios net nėra prostitutės.
LT017-0121|Tu gerai pabūk Londone ir sugrįžk, o tada žiūrėsim.
LT022-0045|ypač prie stalo, kai jūs esate nuginkluoti mišrainių ir karbonadų). Su vyrais kalbėtis lengviau - jie tokiose iškilmėse visada kalba apie tą patį:
LT033-0049|Liekna figūra, vešlūs plaukai, grakšti laikysena kėlė pasigėrėjimą, ir Avila atkreipė dėmesį, kad į moterį dairosi ne jis vienas.
LT031-0166|kuri kabojo ant sienos.
LT029-0101|Taip, ten baigiau bakalaurą.
LT023-0190|Tais momentais, kai koks nors baisus diedas su apsitrynusiomis tatuiruotėmis plaukų džiovintuvu aptarnauja sau pažastis, aš pagalvodavau,
LT016-0188|- Ponas kažką ieškot? - pasigirdo balsas iš lauko.
LT035-0189|Taip... Vinstonai? Aš čia, - atsiliepė Lengdonas, aplinkui skambant aplodismentams. - Ačiū Dievui.
LT024-0114|Žinai tą posakį, kad tu visada esi vidurkis iš septynių žmonių, su kuriais daugiausia bendrauji, - prisimink septynis ir pasakyk man, kaip tau kvepia tas vidurkis?
LT034-0064|Man jau teko regėti šį pranešimą. Prieš tris dienas ant Montserato kalno Edmondas Kiršas kreipėsi į Kiovešą,
LT019-0096|Mantas Petruškevičius suprato tai kaip apsimestinio kuklumo apraišką. Baik, baik, nesikuklink, tikrai puikus darbas.
LT007-0048|Aš nesu gydytojas, bet vaidinau jį televizijoje
LT003-0089|Tas pats vyko ir kitų mūsų projektų metu, kai darydavome įprastą “du bilietai už vieno kainą” pasiūlymą.
LT031-0143|Profesoriui žengus prie lango, Vinstonas pasakė: - Iš čia puikiai matyti voras. Ar pakeliui į muziejų regėjote „Maman“?
LT004-0067|Mūsų alus pasižymi puikiu skoniu.
LT006-0118|Jau anksčiau sužinojote, kad istorijų pasakojimas yra viena iš efektyvaus marketingo dalių. Tačiau vartotoją ir pardavėją geriausiai suartina tiesa.
LT030-0166|Edmondas Kiršas, šį vakarą mes judėsime pirmyn.
