wavs/LT001-0001|﻿Jeigu tokia knyga jau lietuvių būtų buvusi parašyta, tuomet nedrįsčiau.
wavs/LT006-0056|Daugelis vartotojų nenori tikėti Jūsų kalbomis, nes praeityje jau buvo daugybę kartų nusvilę.
wavs/LT006-0057|Jų nepasitikėjimas visiškai suprantamas.
wavs/LT006-0058|Pirkimą ir pardavimą jie laiko priešiškais santykiais, kai pardavėjas bando pasinaudoti pirkėju.
wavs/LT006-0059|Norėdami sėkmingai parduoti, privalėsite šį natūralų nepasitikėjimą nugalėti.
wavs/LT006-0060|Prieš užmezgant santykius su klientu, Jums reikės nugriauti skeptiškumo ir baimės sienas.
wavs/LT006-0061|Viena iš tinkamų strategijų – tikrosios informacijos suteikimas.
wavs/LT006-0062|Ji padės klientui priimti informatyvų sprendimą. Taigi galite kurti informacinį produktą arba pranešimą.
wavs/LT006-0063|Klientai, matydami, kad juos informuojate, Jus gerbs ir atsidėkodami už atvirumą bei sąžiningumą pirks Jūsų produktą.
wavs/LT006-0064|Labiausiai įtikinanti informacija – nesuinteresuotų šalių pateikiami faktai bei skaičiai ir citatos iš patikimų šaltinių:
wavs/LT006-0065|Vyriausybės agentūrų; Pripažintų įstaigų; Verslo žurnalų redaktorių; Tyrimų grupių; Įžymybių; Patenkintų klientų.
wavs/LT006-0066|Stebitės, kodėl patenkinti klientai priskiriami prie patikimų šaltinių?
wavs/LT006-0067|Juk ir įžymybės, kuriomis pasitikime ne dėl jų išmanymo, o dėl jų šlovės, taip ir Jumis patenkintas klientas buvo su Jumis susidūręs praeityje.
wavs/LT006-0068|Jų patirtis leidžia patenkintus klientus priskirti prie patikimų šaltinių.
wavs/LT006-0069|Tyrimai rodo, kad rekomendacijos, labiau nei bet kurios kitos strategijos, padeda kurti patikimumą.
wavs/LT006-0070|Penkioliktas. NUOSEKLUMO MYGTUKAS
wavs/LT006-0071|Priešingai nei visi mano, žinomumas paniekos nesukelia. Jis skatina pardavimą.
wavs/LT006-0072|Tyrimai rodo, kad reklama vidutinį vartotoją įtikina tik tada, kai jis su ja susiduria maždaug penkis-aštuonis kartus
wavs/LT006-0073|(kai kur rašoma, kad ir dvidešimt vieną kartą - jeigu dirbama su “šaltais” potencialiais klientais).
wavs/LT006-0074|Kiek laiko praėjo, kol „Coca Cola“ ar „McDonald’s“ tapo garsiais prekių ženklais?
wavs/LT006-0075|Juk, be abejo, vienos TV ar radijo reklamos, ar pranešimo spaudoje tikrai nepakako.
wavs/LT006-0076|Kelias į žinomumą eina per nuoseklumą
wavs/LT006-0077|Būtent nuoseklios pastangos duoda rezultatų.
wavs/LT006-0078|Todėl svarbu, kad išlaikytumėte nuoseklumą ir tikrintumėte savo kuriamą reklamą, joje pateikiamus pranešimus.
wavs/LT006-0079|Reklamose turi išlikti nuoseklumas, nes tik taip bus sukurtas prekės ženklo pripažinimas.
wavs/LT006-0080|Jos gali būti elementarios (bendrai paaiškinančios, kas esate ir kokia Jūsų veikla),
wavs/LT006-0081|edukacinės (balandžio mėnesio leidinyje galbūt pasiūlysime praktiškų patarimų mokesčių deklaravimo tema)
wavs/LT006-0082|arba „kviečiančios imtis veiksmų“.
wavs/LT006-0083|Svarbiausia, kad visos jos kaskart išlaikytų tą patį toną.
wavs/LT006-0084|Reklama tiesioginiu ar elektroniniu paštu:
wavs/LT006-0085|Į savo marketingo kampaniją turėtumėte įtraukti kokių nors specialių siuntimo formų ir reklamas reikėtų siųsti bent šešis kartus per metus.
wavs/LT006-0086|Tai turite daryti tiek su esamais, tiek su potencialiais klientais.
wavs/LT006-0087|Reklama galėtų būti informacinis biuletenis siunčiamas paprastu paštu, elektroninis naujienlaiškis, siunčiamas kas mėnesį ar abiejų kombinacija.
wavs/LT006-0088|Visuomenės informavimas:
wavs/LT006-0089|apima skelbimus, spaudos pranešimus ir apybraižas apie naujas darbo vietas, naujus produktus, paslaugas bei santykius su naujais klientais.
wavs/LT006-0090|Turėtumėte bent kartą per mėnesį pateikti pranešimą spaudai.
wavs/LT006-0091|Svarbu, kad įsitrauktų visi
wavs/LT006-0092|Nuoseklumas nėra vien kompanijos firminio blanko naudojimas ar Jūsų pareiškimas reklaminio skelbimo pabaigoje.
wavs/LT006-0093|Labai svarbu užtikrinti, kad visi komandos nariai – tiek žmonės, tiek marketingo pranešimas – dirbtų sinchroniškai.
wavs/LT006-0094|Priskirkite sau Nuoseklumo ministro pareigas ir išdėstykite įsakymus:
wavs/LT006-0095|Apsibrėžkite, kaip skirtingi Jūsų kompanijos skyriai bei grupės savo veikloje įgyvendins marketingo pranešimus.
wavs/LT006-0096|Pasirūpinkite, kad žmonės, išgirstantys marketingo pranešimus, juos ir užsirašytų.
wavs/LT006-0097|Sukurkite bendravimo vadovą, kuriame bus išdėstyta, kaip visuose skyriuose reikia interpretuoti ir įgyvendinti pranešimus ir kas juos pranešinės.
wavs/LT006-0098|Investuokite į visų darbuotojų – sekretorių, techninių darbuotojų, personalo darbuotojų, trenerių, pardavėjų ir kitų
wavs/LT006-0099|– mokymus, per kuriuos jie įgis pagrindinius verslo srities tekstų kūrimo įgūdžius.
wavs/LT006-0100|Jūsų marketingo pranešimas ne Jums
wavs/LT006-0101|Ar prieš keisdami pranešimą palaukėte ir įsitikinote jo veiksmingumu?
wavs/LT006-0102|Ar pagalvojote, kad „šį pranešimą išsiuntėte jau trečią kartą.
wavs/LT006-0103|Nuobodu. Geriau jį pakeisiu kitu“.
wavs/LT006-0104|Neskubėkite. Kitaip greitai prarasite nuoseklumą.
wavs/LT006-0105|Dažniausiai besikartojantys marketingo pranešimai atsibosta būtent tam, kuris juos siunčia.
wavs/LT006-0106|Potencialus klientas greičiausiai nebus toks jautrus pakartojimams.
wavs/LT006-0107|Nepamirškite, kad su vartotojais reikia susisiekti bent penkis-aštuonis kartus, nes tik taip jie atkreipia dėmesį.
wavs/LT006-0108|Skirtingai publikai reikalingas skirtingas pranešimų dažnumas. Kiekviena reklama turi būti vertinama ligi optimalaus efektyvumo.
wavs/LT006-0109|Jei kas ketvirtį leidžiamas leidinys yra neveiksmingas, pradėkite jį leisti kartą per mėnesį.
wavs/LT006-0110|Jei kasdieniai elektroniniai laiškai neduoda reikiamų rezultatų, pabandykite juos siųsti du kartus per mėnesį.
wavs/LT006-0111|Sėkmingo marketingo esmė – šeši labai svarbūs žodžiai:
wavs/LT006-0112|„Bandyti, testuoti, bandyti, testuoti, bandyti, testuoti.“
wavs/LT006-0113|Šalinant marketingo srities trikdžius, svarbiausia įvertinti nuoseklumą ir dažnumą.
wavs/LT006-0114|Šešioliktas. TIESOS MYGTUKAS
wavs/LT006-0115|Dvidešimt pirmojo amžiaus vartotojas labai jautrus apgaulėms.
wavs/LT006-0116|Jei tik reklamos ar visa kita informacija bus smarkiai perdėtos, jis iš karto susivoks, kad tai yra Melas: „Nepirk!“
wavs/LT006-0117|Įdomios istorijos patinka kiekvienam.
wavs/LT006-0118|Jau anksčiau sužinojote, kad istorijų pasakojimas yra viena iš efektyvaus marketingo dalių. Tačiau vartotoją ir pardavėją geriausiai suartina tiesa.
wavs/LT006-0119|Todėl nemažai filmų reklamuojami kaip „paremti tikrais įvykiais“.
wavs/LT006-0120|Panaudojus tikrą istoriją, Jūsų pranešimas:
wavs/LT006-0121|„Šis produktas veiksmingas“, – bus akivaizdus ir galingas net ir tada, kai juo nebus per daug stengiamasi įtikinti.
wavs/LT006-0122|Tai tik faktai, Ponia
wavs/LT006-0123|Sėkmės istoriją apie kliento naudojimasi produktu dažniausiai sudaro trys šimtai - keturi šimtai žodžių. Mažiau jų būti negali.
wavs/LT006-0124|Jei naudosite daugiau žodžių, skaitytojas greičiausiai pasitrauks dar nebaigęs skaityti (skaitytojas norės išgirsti daugiau, jei jis pasakojime užims pagrindinį vaidmenį).
wavs/LT006-0125|Iš kur atsiranda Jūsų sėkmės istorija?
wavs/LT006-0126|Žinoma, iš gyvenimo!
wavs/LT006-0127|Ar turite kokią dėmesį patraukiančią sėkmingo kliento istoriją, kuri galėtų pademonstruoti Jūsų kompanijos pranašumą?
wavs/LT006-0128|Galbūt klientui patalpinus reklamą Jūsų informaciniame biuletenyje, jo sportinių batelių pardavimas padidėjo keturis kartus?
wavs/LT006-0129|Ar turite istoriją apie kliento pasitenkinimą Jūsų produkto veiksmingumu?
wavs/LT006-0130|Pavyzdžiui, galbūt panaudojusi Jūsų kremą, moteris pastebėjo, kad nėštumo metu atsiradusios strijos tapo mažiau pastebimos,
wavs/LT006-0131|todėl panoro dalyvauti grožio konkurse ir laimėjo pirmą vietą.
wavs/LT006-0132|Ar Jūsų darbuotojai elgiasi kaip didvyriai, gelbstintys klientus?
wavs/LT006-0133|Jūsų draudimo agentas iš visų jėgų pasistengė susisiekti su apdraustuoju, kurio namą užliejo patvinusi upė.
wavs/LT006-0134|Tokių citatų kaip „Praturtėk greitai“ į savo marketingą geriau neįtraukite.
wavs/LT006-0135|Venkite visko, ką skaitytojas galėtų interpretuoti kaip pigų bandymą reklamuoti savo verslą.
wavs/LT006-0136|Jums reikia istorijų apie tikrus žmones, susidūrusius su tikrais įvykiais...
wavs/LT007-0001|Matydami panašius į save žmones, užsiimančius kokia nors veikla, pavyzdžiui, pirkimu, dažnai beždžioniaujame.
wavs/LT007-0002|Šis reiškinys puikiai paaiškina, kodėl televizijos laidų rengėjai po pokštavimų paleidžia besijuokiančių žmonių garso takelį.
wavs/LT007-0003|Žmonės, namuose žiūrintys laidą, žino, kad tas juokas yra tik garso įrašas, tačiau tai jiems netrukdo juoktis kartu.
wavs/LT007-0004|Tam tikra prasme tas juokas juos užkrečia.
wavs/LT007-0005|Teorija “Ir aš”
wavs/LT007-0006|Daugeliui mūsų pritarti kitų mintims yra daug priimtiniau ir patogiau, nei išsiskirti savomis.
wavs/LT007-0007|Panašūs į mane žmonės
wavs/LT007-0008|Žmonės susižavi matydami, kaip į juos panašūs žmonės daro tai, ką norėtų daryti jie.
wavs/LT007-0009|Taisyklė galioja ir versle, ir laisvalaikio veikloje.
wavs/LT007-0010|Socialinis įrodymas tampa efektyvesnis tada, kai jį pateikia į mus panašūs žmonės arba tokie, kurių pavyzdžiu norėtume sekti.
wavs/LT007-0011|Laiškas kardiologui bus veiksmingesnis, jei jame pristatomo produkto ar paslaugos efektyvumą patvirtins kiti penki kardiologai.
wavs/LT007-0012|Tokie apibūdinimai, kaip „labiausiai perkamas“ arba „populiariausia prekė“, pasitarnaus kaip garso takelis su įrašytu kvatojimu ar juoku.
wavs/LT007-0013|Todėl Jums nebereikės vartotojo įtikinti, kad Jūsų parduodamas produktas tikrai puikus.
wavs/LT007-0014|Po šiais žodžiais slypi pranešimas: daugelis žmonių perka šį produktą.
wavs/LT007-0015|Šis pranešimas yra tinkamas socialinis įrodymas.
wavs/LT007-0016|Septynioliktas. SOCIALINIO ĮRODYMO MYGTUKAS
wavs/LT007-0017|Net nebūdamas paauglys, galite patirti bendraamžių spaudimą. Žmonėms labai svarbu, ką apie juos mano kiti,
wavs/LT007-0018|ir visai nesvarbu, ar Jūs senas, jaunas, turtingas, nepasiturintis, vyras ar moteris.
wavs/LT007-0019|Žmonės lankysis populiariausiuose interneto puslapiuose, naktiniuose klubuose,
wavs/LT007-0020|pirks praktiškiausius mobiliuosius telefonus ir savo pinigus leis pačiam populiariausiam kinui visoje šalyje.
wavs/LT007-0021|Taip yra todėl, kad socialinis įrodymas taip pat susijęs su žmonių troškimu pritapti ir teisingai atskirti melą nuo tiesos.
wavs/LT007-0022|Sek mano pavyzdžiu
wavs/LT007-0023|Kodėl kavinukėje dirbantys darbuotojai darbo pradžioje į arbatpinigiams skirtą stiklainėlį įmeta ir keletą kupiūrų.
wavs/LT007-0024|Žinoma, jie taip elgiasi norėdami motyvuoti klientus, kad šie apsipirkę paliktų jiems arbatpinigių.
wavs/LT007-0025|Pateikiama nuomonė, kad daug klientų duoda ir po dešimt eurų arbatpinigių.
wavs/LT007-0026|Tai ne atsitiktinumas, o paprasčiausia psichologija!
wavs/LT007-0027|Klausk ir kalbėk
wavs/LT007-0028|Ar kada domėjotės, kodėl tokios didžiulės kompanijos kaip „Nabisco“ skelbia konkursus, per kuriuos prašo trumpai aprašyti, „kodėl man patinka produkto pavadinimas“?
wavs/LT007-0029|„Nabisco“ kompanijoje dirba labai protingi žmonės. Užuot reklamas kuriančioms ar tyrimus atliekančioms kompanijoms mokėję didelius pinigus už šūkio sukūrimą,
wavs/LT007-0030|jie rengia konkursus, kurie patys savaime pritraukia klientus.
wavs/LT007-0031|Norėdami laimėti konkursuose, žmonės patys skelbia, kaip jiems patinka šios kompanijos produktas.
wavs/LT007-0032|Taip kompanija gauna nežmonišką kiekį reklamos.
wavs/LT007-0033|Kompanijos naudoja teiginius, kurie nepaneigiamai pritraukia klientų dėmesį.
wavs/LT007-0034|Pavyzdžiui: dešimt tūkstančių vartotojų teigia, kad „Nabisko“ kompanijos sausainiai yra skanesni.
wavs/LT007-0035|Anot Merginų skaučių klubo vadovės, „Nabisko“ yra tikras išsigelbėjimas“.
wavs/LT007-0036|Jei noriu puikios kokybės už gerą kainą, perku „Nabisko“.
wavs/LT007-0037|Konkursų komentarai paverčiami tam tikrais mygtukais, kurie tampa artimesni vartotojų jausmams:
wavs/LT007-0038|„Visi tai žmonės daro, todėl turėčiau ir aš tai daryti.“
wavs/LT007-0039|Aštuonioliktas. AUTORITETO MYGTUKAS
wavs/LT007-0040|Mes jau įvertinome tai, kad supratingi žmonės į reklamas žvelgia kritiškai.
wavs/LT007-0041|Taigi, vartotojai gali kelti sunkumų, ypač tais atvejais, kai į rinką paleidžiate naują produktą.
wavs/LT007-0042|Ir vis dėlto net abejojantį Petrą ar abejojančią Onutę galima įtikinti pirkti, jei tik produkto reklamą pristato gerai žinomas ar įtakingas žmogus.
wavs/LT007-0043|Be to, patikimumo kriterijų galite pasiskolinti iš visuomenės pasitikėjimą jau įgijusių šaltinių ar ekspertų.
wavs/LT007-0044|Kalbant autoritetams, visi klausosi!
wavs/LT007-0045|Dauguma klientų bus laimingesni, jei jiems patiems nereikės priimti sprendimų. Jie norėtų šios privilegijos net neapsvarstę visų esamų faktų, rizikos.
wavs/LT007-0046|Neturėdami pakankamai pagrįstos informacijos, žmonės remiasi žymių žmonių patarimais ir pranešimais, ypač jei tie žmonės yra ekspertai.
wavs/LT007-0047|Kartais kompetencija autoritetingam žmogui nėra būtina. Užtenka kokios nors garsios asmenybės.
wavs/LT007-0048|Aš nesu gydytojas, bet vaidinau jį televizijoje
wavs/LT007-0049|Tyrimai rodo, kad gebėjimas įtikinti labiausiai siejamas su autoriteto suvokimu, atvirumu ir patikimumu kitiems.
wavs/LT007-0050|Būtent šios savybės dažniausiai priskiriamos žymiems žmonėms.
wavs/LT007-0051|Susieję savo prekės ženklą su gerai žinomu asmeniu, prekinį įvaizdį papildysime naujomis dimensijomis.
wavs/LT007-0052|Žymaus žmogaus buvimas reklamoje padės kurti įvaizdį ir reklamuoti produktą.
wavs/LT007-0053|Naujesni tyrimai rodo, kad geriausiai žmonės įsiminė aštuonias iš dešimties reklamų.
wavs/LT008-0001|Pirkėjai privalo save patikinti, kad, bendradarbiaudami su jumis, gaus tai, ko tikisi.
wavs/LT008-0002|Kitaip tariant, jie nori būti tikri, kad ištesėsite savo pažadus.
wavs/LT008-0003|Vartotojai žino, kad produktai ne visuomet būna idealūs. Labiausiai jie nerimauja dėl to, kas bus, kai kils problemų.
wavs/LT008-0004|Jūsų potencialus klientas turi Jumis pasitikėti.
wavs/LT008-0005|Pasitikėjimas interneto puslapiu
wavs/LT008-0006|Internetinio marketingo srityje keletas veiksnių atlieka labai svarbų vaidmenį pasitikėjimo interneto puslapiais įgijimo procese.
wavs/LT008-0007|Labai nesunku suprasti, kad šie veiksniai yra tokie pat svarbūs reklamuojant produktus ar paslaugas ne tik interneto erdvėje.
wavs/LT008-0008|Pakeiskite teiginį „interneto puslapio turinys“ į „marketingo medžiaga“.
wavs/LT008-0009|Ar interneto puslapio turinys profesionalus?
wavs/LT008-0010|Ar interneto puslapio turinys pateikiamas aiškiai?
wavs/LT008-0011|Ar interneto puslapio turinys puikiai organizuotas ir lengvai suprantamas?
wavs/LT008-0012|Ar puslapyje pateikta vaizdinė medžiaga (lentelės, dizainas, grafikai ir panašiai) atitraukia dėmesį nuo pranešimo paskirties?
wavs/LT008-0013|Tiesa, kad pasitikėjimas, laikui bėgant, didėja, tačiau, norėdami įgyti interneto puslapio lankytojų pasitikėjimą, nebūtinai turime laukti ilgai.
wavs/LT008-0014|Štai keletas patarimų: Savo interneto puslapyje kompanijos kontaktinę informaciją (telefono numerį ir adresą) pateikite gerai matomoje vietoje.
wavs/LT008-0015|Dovanokite nemokamų dalykų (kuponų, nuolaidų ar bandomųjų pasiūlymų).
wavs/LT008-0016|Taip pritrauksite lankytojų ir paskatinsite juos dažniau lankytis Jūsų puslapyje.
wavs/LT008-0017|Puslapyje nurodykite siuntimo, grąžinimo, atsiskaitymo internetu ir informacijos konfidencialumo sąlygas.
wavs/LT008-0018|Taip įteisinsite savo verslą.
wavs/LT008-0019|Devynioliktas. “AK, IR VĖL TAI PADARIAU” MYGTUKAS
wavs/LT008-0020|Žinau, koks esate!
wavs/LT008-0021|Norite apie save palikti gerą įspūdį, todėl manote, kad geriau neparodyti to, kas vyksta už Jūsų verslo ribų ar kokias klaideles esate padarę.
wavs/LT008-0022|Tačiau galbūt turėtumėte pasimokyti iš Britney Spears ir jos dainos „Ak, ir vėl tai padariau“ (Oops, I did it again).
wavs/LT008-0023|Gal Britney apie marketingą išmano nedaug (o gal kaip tik labai daug - juk tiek milijonų albumų neparduoda net kur kas geresnius balso duomenys turintys dainininkai),
wavs/LT008-0024|tačiau ji žino, kad klaidos pripažinimas paverčia Jus žmogumi, ir svarbiausia kitų akivaizdoje tampate žmogumi, kuriuo galima pasitikėti.
wavs/LT008-0025|Iš tikrųjų, paaiškinę žmonėms, kodėl ką nors darote labai atsidavę, darysite įtaką jų elgesiui.
wavs/LT008-0026|Pripažinkime, jei pateikiate ypatingą pasiūlymą, pavyzdžiui, suteikiate penkiasdešimt procentų nuolaidą padangoms arba, perkant vieną avalynės porą, kitą dovanojate nemokamai, –
wavs/LT008-0027|niekas nemano, kad visa tai darote tik dėl to, kad tiesiog esate labai geri.
wavs/LT008-0028|Iš tikrųjų dosnumas gali žmones padaryti įtarius. Jie manys: „Tas pigus DVD grotuvas greičiausiai labai prastas“ arba
wavs/LT008-0029|„Gal dienos pietų pasiūlymas pigus, nes šis patiekalas pagamintas iš prastų produktų“.
wavs/LT008-0030|Jei nepaaiškinsite žmonėms, kas vyksta, jie pasitelks savo vaizduotę ir visai įmanoma, kad Jūsų pasiūlymas jų nesužavės.
wavs/LT008-0031|Vėlgi nepriimkite to asmeniškai, tiesiog tokia jau ta žmogaus prigimtis.
wavs/LT008-0032|Įsileiskite saulės šviesą
wavs/LT008-0033|Nenuslėpkite tiesos, leiskite žmonėms atitraukti užuolaidas ir įdėmiai pažvelgti į Jūsų kompaniją.
wavs/LT008-0034|Jei neturite ko slėpti, nesielkite taip, lyg ką nors slėptumėte!
wavs/LT008-0035|Tarkim, rugpjūčio mėnuo tradiciškai jau tapo pats nesėkmingiausias ir Jūs žūtbūt trokštate šiuo laikotarpiu išlaikyti gaunamas pajamas.
wavs/LT008-0036|Pateikite ypatingą pasiūlymą ribotam laikui.
wavs/LT008-0037|Nebūkite drovus. Pasiūlykite ypatingą nuolaidą ar nemokamą dalyką ir paaiškinkite,
wavs/LT008-0038|kad taip elgiatės, nes šiuo metu Jūsų prekyba apmažėjusi, o Jums vis tiek reikia darbuotojams išmokėti algas.
wavs/LT008-0039|Štai keletas idėjų:
wavs/LT008-0040|Užsakymų skyrius susimovė – vartotojai prašė „X prekių ženklo“ kalnų dviračio, tačiau Linas iš užsakymų skyriaus užsakė „Z prekių ženklo“ dviračius,
wavs/LT008-0041|todėl turime daug perteklinių prekių ir jums norime pasiūlyti juos įsigyti už neįtikėtinai mažą kainą...
wavs/LT008-0042|Kur dūmai, ten ir pardavimas –
wavs/LT008-0043|Sandėliuose kilęs gaisras sugadino nemažai prekių, todėl, norėdami greičiau papildyti sandėlius, likusias nepažeistas prekes išparduodame pigiau.
wavs/LT008-0044|Išpardavimas – „Aplink pasaulį per aštuoniasdešimt dienų“ –
wavs/LT008-0045|sumažinu kainas, nes noriu greičiau surinkti pakankamai pinigų, kad penkiasdešimtojo jubiliejaus proga tėvams galėčiau padovanoti kelionę laivu.
wavs/LT008-0046|Žinau, tai prieštarauja bet kokiam sveikam protui, tačiau pažadu, jei žmonėms pateiksite gerą ir įtikimą priežastį, kodėl darote tai, ką darote,
wavs/LT008-0047|jie tikrai Jūsų pastangas įvertins teigiamai.
wavs/LT008-0048|Jei jiems atversite širdį, jie atsivers Jums plačiai išskėstomis rankomis ir atvertomis piniginėmis.
wavs/LT008-0049|Pasakyk man, kodėl
wavs/LT008-0050|Žmonės nori žinoti Jūsų veiksmų priežastis lygiai taip pat, kaip ir nori žinoti savas.
wavs/LT008-0051|Viena neįtikėtinai įdomi istorija
wavs/LT008-0052|(ir ko galėtume iš jos pasimokyti)
wavs/LT008-0053|Harvardo universiteto psichologinio eksperimento metu vienas tyrimo dalyvis priėjo prie nieko nenumanančių, eilėje prie kopijavimo aparato laukiančių žmonių ir paklausė:
wavs/LT008-0054|“Atsiprašau, man reikia tik penkių kopijų. Gal galėčiau pasinaudoti kopijavimo aparatu?”
wavs/LT008-0055|Antru atveju: “Atsiprašau, man reikia tik penkių kopijų. Gal galėčiau pasinaudoti kopijavimo aparatu, nes aš labai skubu?”
wavs/LT008-0056|Trečiu atveju dalyvis tarė:
wavs/LT008-0057|“Atsiprašau, turiu penkis puslapius. Aš galėčiau pasinaudoti kopijavimo aparatu, nes man reikia keleto kopijų.”
wavs/LT008-0058|Savo poreikio priežasties dalyvis nepaaiškino, tik pasakė žodelį “nes”.
wavs/LT008-0059|Pirmas prašymas buvo patenkintas šešiasdešimt procentų. Antrasis prašymas, kurį papildė priežasties pateikimas, buvo patenkintas devyniasdešimt keturiais procentais.
wavs/LT008-0060|Ir... ties trečiu atveju, norite tikėkite, norite ne, tačiau net devyniasdešimt trys procentai žmonių atsakė “taip”, kai buvo pavartotas tik žodelis “NES”..
wavs/LT008-0061|..ir visai nesvarbu, kad prašant nebuvo pateikta jokia priežastis. Stebuklingas žodis „nes“ sukėlė trokštamą reakciją –
wavs/LT008-0062|tyrimo dalyvis galėjo kopijuoti be eilės.
wavs/LT008-0063|Dvidešimtas. BENDRUMO MYGTUKAS
wavs/LT008-0064|Jei žmonėms siūlysite produktus, kurių jie tikrai trokšta, ir spręsite problemas, kurios iš tikrųjų kelia jiems nerimą,
wavs/LT008-0065|norėdami užsitikrinti sėkmę, turėsite pasirūpinti dar vienu aspektu: ryšiais.
wavs/LT008-0066|Užmegzdami ryšį, sakote: „Aš Jus suprantu.“
wavs/LT008-0067|Siekdami užmegzti tokius santykius, turite kalbėti su vartotojais jų kalba.
wavs/LT008-0068|Lietuviai kalba lietuviškai, rusai kalba rusiškai, italai kalba itališkai,
wavs/LT008-0069|o amerikiečiai (nepaisant to, ką mano britai) kalba angliškai, tai yra amerikiečių anglų kalba.
wavs/LT008-0070|Degalinių darbuotojai kalba degalinės kalba, o finansų brokeriai net ne darbo metu kalba „Wall Streeto“ kalba.
wavs/LT008-0071|Vartotojai taip pat kalba skirtingomis kalbomis. Jie kalba skirtingais dialektais,
wavs/LT008-0072|darbine, gimtąja, savos kultūros, pomėgių bei aistros kalbomis.
wavs/LT008-0073|Jei kalbate vartotojo kalba, kitaip tariant, jei galite atpažinti tam tikroje subkultūroje madingus žodžius, iš karto tapsite savas.
wavs/LT008-0074|Internetinio marketingo praktikų bendruomenė:
wavs/LT008-0075|Mūsų, internetinio marketingo praktikų, bendruomenėje yra daugybė terminų, kurie identifikuoja ar žmogus tikrai gilinasi į šią sritį, ar dar tik pradeda.
wavs/LT008-0076|Tokie terminai, kaip “leads generation”, “one click upsell”, “downsell”, “one time offer arba OTO”,
wavs/LT008-0077|“follow-up campaign”, “copy”, “funnels” ar “irresistible offer”
wavs/LT008-0078|yra praktiškai neatsiejama mūsų verslo dalis, o į lietuvių kalbą juos ne visada norisi ar pavyksta aiškiai išversti.
wavs/LT008-0079|Tad kai diskusija pakrypsta apie internetinio marketingo subtilybes, mes iš karto matome ar žmogus tuo domisi ilgai, ar yra pradedantysis..
wavs/LT008-0080|Tai lyg savotiška indoktrinacija į mūsų bendruomenę, kurioje dosniai dalinamės patirtimi, pamokomis ir sėkmės istorijomis.
wavs/LT008-0081|Draugas draugui neleis priimti netinkamo sprendimo (vairuoti girtam)
wavs/LT008-0082|Žmonės tikisi, kad draugai jiems padės priimti sprendimą ir duos naudingų patarimų.
wavs/LT008-0083|Jie įtariai žvelgia į tuos žmones, kurie bando jiems ką nors parduoti, ir jų patarimus traktuoja kaip suterštus troškimo užsidirbti visagalių pinigų.
wavs/LT008-0084|Verslo draugai santykius užmezga remdamiesi bendru pasitikėjimu ir bendrais interesais.
wavs/LT008-0085|Verslo draugai turi ryšių.
wavs/LT008-0086|Jei pirkėjas žvelgs į Jus kaip į patikimą ir išmanantį patarėją, Jūsų patarimas bus traktuojamas kaip protingas, o ne kaip bandymas ką nors jiems įsiūlyti.
wavs/LT008-0087|Tad kaipgi galite užmegzti ryšį?
wavs/LT008-0088|Pasistenkite pasinaudoti tuo, ką pastebėjote.
wavs/LT008-0089|Potencialus pirkėjas elgiasi dalykiškai ar draugiškai?
wavs/LT008-0090|Ar jis / ji kalba garsiai, ar švelniai?
wavs/LT008-0091|Ar jo / jos skleidžiama energija sklinda greitai, ar sistemingai?
wavs/LT008-0092|Ryšiui užmegzti reikalinga empatija.
wavs/LT008-0093|Atminkite, kad trumpas pokštas turės daugiau įtakos užmezgant ryšį nei dvidešimties minučių trukmės kalba apie pardavimą.
wavs/LT008-0094|Žinoma, išskyrus tuos atvejus, kai pirkėjui pokštai prilygsta brangaus laiko švaistymui.
wavs/LT008-0095|Užteks kalbėti apie mane... Ką manote Jūs (apie mane)?
wavs/LT008-0096|Užmezgant santykius, labai padės kalbėjimas kita, tai yra ne verslo, tema. Daugelis žmonių labiausiai mėgsta kalbėti apie save.
wavs/LT008-0097|Kalbėdami apie save, žmonės tampa atviresni. Taip galite greitai sužinoti apie jų nuotaiką, asmenybę ir bendravimo stilių.
wavs/LT008-0098|Informacija apie pomėgius, augintinius, vaikus ir mėgstamiausias atostogų vietas yra puikus pagrindas užmegzti abipusiam ryšiui
wavs/LT008-0099|bei ilgos ir gražios draugystės pradžia...
wavs/LT008-0100|Žinoma, ir didelio, naudingo bendradarbiavimo pradžia.
wavs/LT008-0101|Dvidešimtpirmas. UNIKALUMO MYGTUKAS
wavs/LT008-0102|Unikali produkto ar paslaugos kokybė yra pagrindinė priežastis, kodėl žmonės perka būtent iš Jūsų.
wavs/LT008-0103|Tad jei darote ką nors, kas išskiria Jus iš konkurentų (sukuriate geresnį ar pigesnį produktą, galite garantuotai pristatyti karštą picą per dvidešimt ar mažiau minučių).
wavs/LT008-0104|Visam pasauliui skelbkite, koks esate ypatingas! Ir pasaulis Jumis susidomės.
wavs/LT008-0105|Kai tik Jūsų kompanija taps unikali, išskirtinumas atsispindės visoje Jūsų veikloje.
wavs/LT008-0106|Jūsų unikalumas taps esmine fraze, kuri kartais vadinama Unikaliu Komerciniu Pasiūlymu.
wavs/LT008-0107|Unikalus komercinis pasiūlymas atsispindės visų Jūsų skelbimų, laiškų, brošiūrų, televizijos ir radijo pranešimų antraštėse.
